"행정구역","2026년08월_계_총인구수","2026년08월_계_연령구간인구수","2026년08월_계_0~4세","2026년08월_계_5~9세","2026년08월_계_10~14세","2026년08월_계_15~19세","2026년08월_계_20~24세","2026년08월_계_25~29세","2026년08월_계_30~34세","2026년08월_계_35~39세","2026년08월_계_40~44세","2026년08월_계_45~49세","2026년08월_계_50~54세","2026년08월_계_55~59세","2026년08월_계_60~64세","2026년08월_계_65~69세","2026년08월_계_70~74세","2026년08월_계_75~79세","2026년08월_계_80~84세","2026년08월_계_85~89세","2026년08월_계_90~94세","2026년08월_계_95~99세","2026년08월_계_100세 이상","2026년08월_남_총인구수","2026년08월_남_연령구간인구수","2026년08월_남_0~4세","2026년08월_남_5~9세","2026년08월_남_10~14세","2026년08월_남_15~19세","2026년08월_남_20~24세","2026년08월_남_25~29세","2026년08월_남_30~34세","2026년08월_남_35~39세","2026년08월_남_40~44세","2026년08월_남_45~49세","2026년08월_남_50~54세","2026년08월_남_55~59세","2026년08월_남_60~64세","2026년08월_남_65~69세","2026년08월_남_70~74세","2026년08월_남_75~79세","2026년08월_남_80~84세","2026년08월_남_85~89세","2026년08월_남_90~94세","2026년08월_남_95~99세","2026년08월_남_100세 이상","2026년08월_여_총인구수","2026년08월_여_연령구간인구수","2026년08월_여_0~4세","2026년08월_여_5~9세","2026년08월_여_10~14세","2026년08월_여_15~19세","2026년08월_여_20~24세","2026년08월_여_25~29세","2026년08월_여_30~34세","2026년08월_여_35~39세","2026년08월_여_40~44세","2026년08월_여_45~49세","2026년08월_여_50~54세","2026년08월_여_55~59세","2026년08월_여_60~64세","2026년08월_여_65~69세","2026년08월_여_70~74세","2026년08월_여_75~79세","2026년08월_여_80~84세","2026년08월_여_85~89세","2026년08월_여_90~94세","2026년08월_여_95~99세","2026년08월_여_100세 이상"
"부산광역시 연제구 (2647000000)","211,603","211,603","5,307","6,699","8,762","8,449","8,721","12,192","14,972","13,632","14,586","16,228","16,139","17,329","15,664","17,732","14,122","9,906","6,281","3,527","1,116","211","28","100,668","100,668","2,750","3,382","4,388","4,332","4,301","5,883","7,274","6,966","7,293","7,936","7,842","8,177","7,335","7,904","6,279","4,298","2,664","1,304","310","45","5","110,935","110,935","2,557","3,317","4,374","4,117","4,420","6,309","7,698","6,666","7,293","8,292","8,297","9,152","8,329","9,828","7,843","5,608","3,617","2,223","806","166","23"
"부산광역시 수영구 (2650000000)","169,336","169,336","3,201","4,068","5,756","5,744","6,995","11,851","12,919","10,392","10,960","11,996","12,564","13,510","12,569","14,751","12,359","9,073","5,912","3,335","1,112","241","28","79,296","79,296","1,644","2,056","3,003","2,916","3,288","5,534","6,600","5,251","5,453","5,874","6,024","6,354","5,626","6,322","5,366","3,819","2,527","1,286","290","60","3","90,040","90,040","1,557","2,012","2,753","2,828","3,707","6,317","6,319","5,141","5,507","6,122","6,540","7,156","6,943","8,429","6,993","5,254","3,385","2,049","822","181","25"
"부산광역시 사상구 (2653000000)","191,912","191,912","2,979","3,996","6,263","6,848","8,896","11,500","12,390","9,953","10,765","12,729","14,249","18,205","19,341","20,790","14,421","9,467","5,298","2,780","877","144","21","95,671","95,671","1,559","2,101","3,168","3,450","4,554","5,919","6,813","5,460","5,673","6,724","7,294","8,917","9,644","10,120","6,776","4,242","2,156","898","184","18","1","96,241","96,241","1,420","1,895","3,095","3,398","4,342","5,581","5,577","4,493","5,092","6,005","6,955","9,288","9,697","10,670","7,645","5,225","3,142","1,882","693","126","20"
"부산광역시 기장군 (2671000000)","175,482","175,482","4,724","7,115","10,821","9,378","6,638","7,804","9,781","10,409","14,084","16,896","14,968","13,455","11,484","12,562","9,909","7,108","4,606","2,588","941","180","31","86,988","86,988","2,401","3,673","5,553","4,810","3,621","4,170","5,185","5,335","6,973","8,548","7,686","6,899","5,661","5,796","4,455","3,184","1,927","856","226","26","3","88,494","88,494","2,323","3,442","5,268","4,568","3,017","3,634","4,596","5,074","7,111","8,348","7,282","6,556","5,823","6,766","5,454","3,924","2,679","1,732","715","154","28"
"대구광역시  (2700000000)","2,346,277","2,346,277","55,086","74,736","105,577","107,082","110,565","134,574","149,805","136,535","153,587","177,159","194,665","212,755","193,954","188,388","137,022","95,448","63,026","39,138","14,207","2,664","304","1,148,130","1,148,130","28,241","38,437","53,941","54,942","57,769","70,489","79,481","72,909","77,869","87,671","95,206","103,261","93,784","88,955","61,902","41,235","24,742","12,993","3,795","462","46","1,198,147","1,198,147","26,845","36,299","51,636","52,140","52,796","64,085","70,324","63,626","75,718","89,488","99,459","109,494","100,170","99,433","75,120","54,213","38,284","26,145","10,412","2,202","258"
"대구광역시 중구 (2711000000)","101,894","101,894","4,289","3,929","3,954","3,696","5,447","8,052","9,907","8,756","7,931","7,114","7,363","6,910","5,662","5,665","4,558","3,626","2,688","1,600","616","114","17","48,678","48,678","2,232","2,013","1,959","1,833","2,392","3,721","4,857","4,574","4,191","3,547","3,520","3,371","2,700","2,590","1,934","1,449","1,053","542","173","24","3","53,216","53,216","2,057","1,916","1,995","1,863","3,055","4,331","5,050","4,182","3,740","3,567","3,843","3,539","2,962","3,075","2,624","2,177","1,635","1,058","443","90","14"
"대구광역시 동구 (2714000000)","338,699","338,699","8,503","10,084","12,889","13,137","13,903","18,862","23,484","21,071","21,628","24,428","26,512","29,006","27,645","28,858","22,478","16,077","10,815","6,545","2,308","417","49","165,263","165,263","4,397","5,233","6,539","6,859","7,369","9,670","12,339","11,478","11,263","12,315","13,252","14,069","13,173","13,216","9,988","6,894","4,268","2,214","646","73","8","173,436","173,436","4,106","4,851","6,350","6,278","6,534","9,192","11,145","9,593","10,365","12,113","13,260","14,937","14,472","15,642","12,490","9,183","6,547","4,331","1,662","344","41"
"대구광역시 서구 (2717000000)","163,319","163,319","3,292","3,496","4,693","5,026","5,642","8,415","10,683","8,989","9,149","10,218","12,366","15,587","16,644","16,821","12,956","8,877","5,790","3,356","1,094","204","21","80,700","80,700","1,685","1,793","2,366","2,507","3,052","4,420","5,831","5,109","5,043","5,451","6,483","7,787","8,205","7,912","5,628","3,832","2,233","1,075","265","22","1","82,619","82,619","1,607","1,703","2,327","2,519","2,590","3,995","4,852","3,880","4,106","4,767","5,883","7,800","8,439","8,909","7,328","5,045","3,557","2,281","829","182","20"
"대구광역시 남구 (2720000000)","141,722","141,722","2,763","2,784","3,796","4,661","7,002","9,326","10,583","8,102","8,252","9,053","10,941","12,419","11,601","12,484","10,162","7,584","5,225","3,452","1,272","237","23","67,390","67,390","1,417","1,469","1,940","2,322","3,301","4,399","5,508","4,497","4,265","4,521","5,379","6,140","5,497","5,626","4,435","3,135","1,959","1,169","371","37","3","74,332","74,332","1,346","1,315","1,856","2,339","3,701","4,927","5,075","3,605","3,987","4,532","5,562","6,279","6,104","6,858","5,727","4,449","3,266","2,283","901","200","20"
"대구광역시 북구 (2723000000)","406,214","406,214","8,735","11,984","17,847","19,572","23,685","25,677","25,354","22,210","25,001","30,262","36,360","39,055","33,849","31,430","21,371","14,999","10,164","6,089","2,099","415","56","200,738","200,738","4,486","6,136","9,121","9,981","12,463","13,983","13,791","12,004","12,765","14,901","17,605","19,260","16,532","15,193","9,724","6,339","3,879","1,976","533","60","6","205,476","205,476","4,249","5,848","8,726","9,591","11,222","11,694","11,563","10,206","12,236","15,361","18,755","19,795","17,317","16,237","11,647","8,660","6,285","4,113","1,566","355","50"
